,lat,lon,depth,slip,rake,strike,dip,t_rup,t_ris,t_fal,mo
222,40.369999,-125.029999,27.1,5.83768,204.630692,96.0,90.0,9.440001,4.5,1.5,4.15279e+23
223,40.366524,-124.98658,27.1,6.454851,203.617172,96.0,90.0,8.597947,4.5,4.5,4.59183e+23
224,40.363045,-124.943161,27.1,1.28457,172.974991,96.0,90.0,8.251729,4.5,4.5,9.13814e+22
225,40.35957,-124.89975,27.1,1.749034,180.984375,96.0,90.0,8.552092,1.5,1.5,1.24422e+23
226,40.356094,-124.856331,27.1,2.113642,184.787079,96.0,90.0,9.841917,4.5,4.5,1.5036e+23
227,40.352615,-124.812912,27.1,2.549302,197.602158,96.0,90.0,12.271111,1.5,1.5,1.81351e+23
228,40.34914,-124.769493,27.1,2.27364,200.869339,96.0,90.0,15.801321,1.5,1.5,1.61742e+23
229,40.345661,-124.726074,27.1,0.551323,175.517685,96.0,90.0,19.604969,3.0,3.0,3.92198e+22
230,40.342186,-124.682655,27.1,6.598094,176.438934,96.0,90.0,22.862659,1.5,4.5,4.69373e+23
231,40.338711,-124.639236,27.1,35.588573,204.844894,96.0,90.0,25.760769,3.0,4.5,2.53169e+24
232,40.335232,-124.595818,27.1,44.29557,209.193512,96.0,90.0,27.689636,1.5,1.5,3.15109e+24
233,40.331757,-124.552406,27.1,42.135777,203.698517,96.0,90.0,28.642315,1.5,4.5,2.99744e+24
234,40.328278,-124.508987,27.1,26.290567,198.657059,96.0,90.0,28.813721,3.0,4.5,1.87025e+24
235,40.324802,-124.465569,27.1,5.248633,196.356659,96.0,90.0,28.600079,4.5,1.5,3.73376e+23
236,40.321327,-124.42215,27.1,1.148052,178.692551,96.0,90.0,28.198538,4.5,4.5,8.16698e+22
237,40.317848,-124.378731,27.1,0.603473,177.713211,96.0,90.0,28.206907,1.5,4.5,4.29297e+22
238,40.314373,-124.335312,27.1,1.091948,203.157593,96.0,90.0,28.623489,1.5,1.5,7.76787e+22
239,40.310894,-124.291893,27.1,12.420717,208.254623,96.0,90.0,29.246944,4.5,1.5,8.83581e+23
